cell	candidate
scope_exit/bare	PASS
branch_taken/bare	PASS
branch_untaken/bare	PASS
loop3/bare	PASS
move_out/bare	PASS
reassign_over/bare	PASS
move_then_reassign/bare	PASS
early_return/bare	PASS
normal_return/bare	PASS
discard/bare	PASS
consume_cond_taken/bare	PASS
consume_cond_untaken/bare	PASS
scope_exit/field	PASS
branch_taken/field	PASS
branch_untaken/field	PASS
loop3/field	PASS
move_out/field	PASS
reassign_over/field	PASS
move_then_reassign/field	PASS
early_return/field	PASS
normal_return/field	PASS
discard/field	PASS
consume_cond_taken/field	PASS
consume_cond_untaken/field	PASS
scope_exit/tuple	PASS
branch_taken/tuple	PASS
branch_untaken/tuple	PASS
loop3/tuple	PASS
move_out/tuple	PASS
reassign_over/tuple	PASS
move_then_reassign/tuple	PASS
early_return/tuple	PASS
normal_return/tuple	PASS
discard/tuple	PASS
consume_cond_taken/tuple	PASS
consume_cond_untaken/tuple	PASS
scope_exit/option	PASS
branch_taken/option	PASS
branch_untaken/option	PASS
loop3/option	PASS
move_out/option	PASS
reassign_over/option	PASS
move_then_reassign/option	PASS
early_return/option	PASS
normal_return/option	PASS
discard/option	PASS
consume_cond_taken/option	PASS
consume_cond_untaken/option	PASS
scope_exit/enum	PASS
branch_taken/enum	PASS
branch_untaken/enum	PASS
loop3/enum	PASS
move_out/enum	PASS
reassign_over/enum	PASS
move_then_reassign/enum	PASS
early_return/enum	PASS
normal_return/enum	PASS
discard/enum	PASS
consume_cond_taken/enum	PASS
consume_cond_untaken/enum	PASS
scope_exit/boxbare	PASS
branch_taken/boxbare	PASS
branch_untaken/boxbare	PASS
loop3/boxbare	PASS
move_out/boxbare	PASS
reassign_over/boxbare	PASS
move_then_reassign/boxbare	PASS
early_return/boxbare	PASS
normal_return/boxbare	PASS
discard/boxbare	PASS
consume_cond_taken/boxbare	PASS
consume_cond_untaken/boxbare	PASS
scope_exit/rcbare	PASS
branch_taken/rcbare	PASS
branch_untaken/rcbare	PASS
loop3/rcbare	PASS
move_out/rcbare	PASS
reassign_over/rcbare	PASS
move_then_reassign/rcbare	PASS
early_return/rcbare	PASS
normal_return/rcbare	PASS
discard/rcbare	PASS
consume_cond_taken/rcbare	PASS
consume_cond_untaken/rcbare	PASS
scope_exit/boxfield	PASS
branch_taken/boxfield	PASS
branch_untaken/boxfield	PASS
loop3/boxfield	PASS
move_out/boxfield	PASS
reassign_over/boxfield	PASS
move_then_reassign/boxfield	PASS
early_return/boxfield	PASS
normal_return/boxfield	PASS
discard/boxfield	PASS
consume_cond_taken/boxfield	PASS
consume_cond_untaken/boxfield	PASS
consume_call/bare	PASS
consume_call/field	PASS
consume_call/boxbare	PASS
consume_call/rcbare	PASS
match_consume/enum	PASS
partial_move/field	PASS
branch_move_state_identity/field	PASS
move_reassign_same_place/bare	PASS
field_take/field	PASS
field_take/boxfield	PASS
field_take_restore/field	PASS
field_take_restore/boxfield	PASS
move_into_borrow/bare	PASS
recv_mut_borrow/bare	PASS
recv_move_consume/bare	PASS
recv_bare_self_replace/bare	PASS
vec_elem_drop/vec	PASS
pod_vec_scope_exit/EXPECT-CLEAN	PASS
pod_vec_reassign/EXPECT-CLEAN	PASS
drop-audit: 115 cells, 0 non-PASS
